,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,geocode,latitude,longitude
2207,Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Technology,Phones,38.272,4,0.2,3.8272,"Aurora, Aurora Township, Kane County, Illinois, 60505, United States",41.76057718828125,-88.29929935722656
2208,Standard Class,Home Office,United States,New York City,New York,10009,East,Office Supplies,Art,16.52,4,0.0,7.5992,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
2209,Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Technology,Phones,832.93,7,0.0,233.2204,"Chassepierre, Florenville, Virton, Luxembourg, Wallonie, 6824, België / Belgique / Belgien",49.70838960939394,5.268924086666667
2210,Second Class,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Binders,43.8,10,0.0,21.024,"Chassepierre, Florenville, Virton, Luxembourg, Wallonie, 6824, België / Belgique / Belgien",49.70838960939394,5.268924086666667
2211,First Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Appliances,167.292,6,0.1,29.7408,"Šilainių seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 48146, Lietuva",54.93541856666666,23.891646833333333
2212,Standard Class,Consumer,United States,New York City,New York,10035,East,Furniture,Furnishings,27.42,1,0.0,11.2422,"Manhattan, New York County, City of New York, New York, 10035, United States",40.79525738643744,-73.94098895105061
2213,First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Binders,1.44,1,0.2,0.504,"Ermont, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95123, France",48.979073,2.2663207
2214,First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Binders,61.776,13,0.2,20.8494,"Ermont, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95123, France",48.979073,2.2663207
2215,First Class,Consumer,United States,San Jose,California,95123,West,Office Supplies,Appliances,241.96,2,0.0,60.49,"Ermont, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95123, France",48.979073,2.2663207
2216,First Class,Consumer,United States,San Jose,California,95123,West,Furniture,Chairs,108.608,4,0.2,9.5032,"Ermont, Argenteuil, Val-d'Oise, Île-de-France, France métropolitaine, 95123, France",48.979073,2.2663207
2217,Standard Class,Corporate,United States,Jacksonville,Florida,32216,South,Office Supplies,Art,2.816,2,0.2,0.9856,"Jacksonville, Duval County, Florida, 32216, United States",30.28447686680905,-81.58140446355667
2218,Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Binders,9.984,4,0.2,3.6192,"Arcueil, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94110, France",48.80657259055118,2.3333345708661417
2219,Standard Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Storage,14.98,1,0.0,4.1944,"Arcueil, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94110, France",48.80657259055118,2.3333345708661417
2220,Standard Class,Corporate,United States,San Francisco,California,94110,West,Technology,Phones,1145.6,4,0.2,100.24,"Arcueil, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94110, France",48.80657259055118,2.3333345708661417
2221,Same Day,Consumer,United States,Marion,Ohio,43302,East,Technology,Phones,485.94,2,0.4,-89.089,"Marion, Marion County, Ohio, 43302, United States",40.5819619793666,-83.1171545084453
2222,Same Day,Consumer,United States,Marion,Ohio,43302,East,Office Supplies,Art,37.376,8,0.2,4.672,"Marion, Marion County, Ohio, 43302, United States",40.5819619793666,-83.1171545084453
2223,Same Day,Consumer,United States,Marion,Ohio,43302,East,Furniture,Chairs,70.686,1,0.3,-24.2352,"Marion, Marion County, Ohio, 43302, United States",40.5819619793666,-83.1171545084453
2224,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,54.816,3,0.2,17.8152,"La Spezia, Follo, La Spezia, Liguria, 19134, Italia",44.1238135,9.7832715
2225,Second Class,Consumer,United States,Littleton,Colorado,80122,West,Furniture,Bookcases,72.294,1,0.7,-98.8018,"Municipalità 1, Napoli, Campania, 80122, Italia",40.83182376818182,14.223696418181818
2226,Standard Class,Corporate,United States,Austin,Texas,78745,Central,Office Supplies,Fasteners,2.896,2,0.2,0.4706,78745,30.208414000744188,-97.79208889539535
2227,Standard Class,Corporate,United States,Austin,Texas,78745,Central,Technology,Phones,124.792,1,0.2,15.599,78745,30.208414000744188,-97.79208889539535
2228,Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Tables,330.588,1,0.4,-115.7058,"Manhattan, New York County, City of New York, New York, 10024, United States",40.786293471355805,-73.97560436394984
2229,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Binders,673.568,2,0.2,252.588,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
2230,Standard Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Appliances,52.98,2,0.0,14.8344,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
2231,Standard Class,Consumer,United States,La Porte,Indiana,46350,Central,Furniture,Furnishings,526.45,5,0.0,31.587,"Aleksoto seniūnija, Kaunas, Kauno miesto savivaldybė, Kauno apskritis, 46350, Lietuva",54.86896775,23.8828503
2232,Standard Class,Consumer,United States,Chicago,Illinois,60610,Central,Office Supplies,Storage,228.92,5,0.2,14.3075,"Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9040108375,-87.63598730245535
2233,Second Class,Consumer,United States,Portland,Oregon,97206,West,Technology,Phones,319.968,4,0.2,35.9964,"Mount Scott-Arleta, Portland, Multnomah County, Oregon, 97206, United States",45.48330953363532,-122.5991700976423
2234,Standard Class,Corporate,United States,Burlington,Vermont,5408,East,Technology,Accessories,205.03,7,0.0,67.6599,"Ennetbaden, Bezirk Baden, Aargau, 5408, Schweiz/Suisse/Svizzera/Svizra",47.48143060504414,8.320206295460277
2235,Second Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Storage,190.86,2,0.0,11.4516,"Indianapolis, Marion County, Indiana, 46203, United States",39.737613493617694,-86.10293313620853
2236,Second Class,Consumer,United States,Indianapolis,Indiana,46203,Central,Office Supplies,Art,24.32,8,0.0,8.2688,"Indianapolis, Marion County, Indiana, 46203, United States",39.737613493617694,-86.10293313620853
2237,Standard Class,Home Office,United States,Provo,Utah,84604,West,Office Supplies,Supplies,44.4,5,0.0,12.432,"Provo, Utah County, Utah, 84604, United States",40.26954607673469,-111.65899885142858
2238,Standard Class,Home Office,United States,Chicago,Illinois,60610,Central,Furniture,Furnishings,44.4,2,0.6,-52.17,"Near North Side, Chicago, Cook County, Illinois, 60610, United States",41.9040108375,-87.63598730245535
2239,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,1016.792,1,0.2,381.297,"瑞光里, 屏東市, 屏東縣, 90049, 臺灣",22.6640293,120.5030326
2240,Second Class,Consumer,United States,Los Angeles,California,90049,West,Office Supplies,Binders,38.136,7,0.2,13.3476,"瑞光里, 屏東市, 屏東縣, 90049, 臺灣",22.6640293,120.5030326
2241,Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,494.982,3,0.4,-115.4958,"La Spezia, Follo, La Spezia, Liguria, 19134, Italia",44.1238135,9.7832715
2242,Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Storage,56.56,2,0.0,15.2712,"Pasadena, Los Angeles County, California, 91104, United States",34.16546913378378,-118.12298814797296
2243,Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Art,5.56,2,0.0,1.4456,"Pasadena, Los Angeles County, California, 91104, United States",34.16546913378378,-118.12298814797296
2244,Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Fasteners,9.02,2,0.0,3.5178,"Pasadena, Los Angeles County, California, 91104, United States",34.16546913378378,-118.12298814797296
2245,Standard Class,Home Office,United States,Pasadena,California,91104,West,Office Supplies,Appliances,8.62,1,0.0,2.2412,"Pasadena, Los Angeles County, California, 91104, United States",34.16546913378378,-118.12298814797296
2246,Standard Class,Home Office,United States,Pasadena,California,91104,West,Technology,Phones,659.976,3,0.2,49.4982,"Pasadena, Los Angeles County, California, 91104, United States",34.16546913378378,-118.12298814797296
2247,Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,13.36,2,0.0,6.4128,90004,34.073026752459015,-118.30155263934427
2248,Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,41.72,5,0.2,13.0375,90004,34.073026752459015,-118.30155263934427
2249,Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Binders,11.52,5,0.2,4.176,90004,34.073026752459015,-118.30155263934427
2250,Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Appliances,541.44,6,0.0,157.0176,90004,34.073026752459015,-118.30155263934427
2251,Second Class,Consumer,United States,Los Angeles,California,90004,West,Office Supplies,Paper,19.44,3,0.0,9.3312,90004,34.073026752459015,-118.30155263934427
2252,Second Class,Home Office,United States,San Diego,California,92105,West,Office Supplies,Paper,143.7,3,0.0,68.976,"San Diego, San Diego County, California, 92105, United States",32.73996396215752,-117.09493733401432
2253,First Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Appliances,43.26,3,0.0,14.2758,"Arcueil, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94110, France",48.80657259055118,2.3333345708661417
2254,First Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Appliances,43.56,2,0.0,15.246,"Arcueil, Arrondissement de L'Haÿ-les-Roses, Val-de-Marne, Île-de-France, France métropolitaine, 94110, France",48.80657259055118,2.3333345708661417
2255,Standard Class,Corporate,United States,Bangor,Maine,4401,East,Technology,Phones,437.85,3,0.0,131.355,"Пазарджик, 4401, България",42.18940287142857,24.343107857142858
2256,Standard Class,Corporate,United States,Bangor,Maine,4401,East,Furniture,Furnishings,109.48,2,0.0,33.9388,"Пазарджик, 4401, България",42.18940287142857,24.343107857142858
2257,First Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Chairs,1212.96,7,0.2,90.972,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
2258,First Class,Consumer,United States,San Francisco,California,94122,West,Office Supplies,Paper,18.54,2,0.0,8.7138,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
2259,Second Class,Home Office,United States,San Diego,California,92024,West,Office Supplies,Fasteners,5.0,1,0.0,2.4,"Quartier de La Boule - Champs Pierreux, Nanterre, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92024, France",48.8931268,2.2120881
2260,Second Class,Home Office,United States,San Diego,California,92024,West,Technology,Accessories,371.97,3,0.0,66.9546,"Quartier de La Boule - Champs Pierreux, Nanterre, Arrondissement de Nanterre, Hauts-de-Seine, Île-de-France, France métropolitaine, 92024, France",48.8931268,2.2120881
2261,Same Day,Consumer,United States,New York City,New York,10035,East,Technology,Accessories,166.24,1,0.0,24.936,"Manhattan, New York County, City of New York, New York, 10035, United States",40.79525738643744,-73.94098895105061
2262,First Class,Consumer,United States,Arlington,Virginia,22204,South,Furniture,Bookcases,359.97,3,0.0,79.1934,"Arlington, Arlington County, Virginia, 22204, United States",38.86091825464709,-77.09233992347738
2263,Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Technology,Accessories,499.98,2,0.0,114.9954,"Atlanta, Fulton County, Georgia, 30318, United States",33.78844756307163,-84.44559190021704
2264,Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Paper,5.28,1,0.0,2.376,"Atlanta, Fulton County, Georgia, 30318, United States",33.78844756307163,-84.44559190021704
2265,Second Class,Consumer,United States,Atlanta,Georgia,30318,South,Office Supplies,Binders,8.26,2,0.0,3.8822,"Atlanta, Fulton County, Georgia, 30318, United States",33.78844756307163,-84.44559190021704
2266,Same Day,Home Office,United States,Monroe,North Carolina,28110,South,Office Supplies,Paper,7.968,2,0.2,2.6892,"흥덕구, 청주시, 충청북도, 28110, 대한민국",36.66666642222222,127.36908303333333
2267,Same Day,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Paper,12.96,2,0.0,6.3504,"Seattle, King County, Washington, 98115, United States",47.68493836608715,-122.29913670628851
2268,Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Paper,6.48,1,0.0,3.1104,"중동, 신중동, 부천시, 경기도, 14609, 대한민국",37.49401975,126.769738175
2269,Standard Class,Corporate,United States,Rochester,New York,14609,East,Office Supplies,Binders,6.984,1,0.2,2.3571,"중동, 신중동, 부천시, 경기도, 14609, 대한민국",37.49401975,126.769738175
2270,Standard Class,Corporate,United States,Miami,Florida,33180,South,Office Supplies,Art,47.96,5,0.2,4.1965,"Lappi, Keskinen suuralue, Tampere, Tampereen seutukunta, Pirkanmaa, Länsi- ja Sisä-Suomen aluehallintovirasto, Manner-Suomi, 33180, Suomi / Finland",61.51053273185841,23.77786992920354
2271,Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Storage,199.74,6,0.0,47.9376,"Seattle, King County, Washington, 98105, United States",47.66461158711767,-122.29919061874065
2272,Standard Class,Consumer,United States,San Francisco,California,94122,West,Furniture,Furnishings,435.26,7,0.0,95.7572,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
2273,Standard Class,Consumer,United States,San Francisco,California,94122,West,Technology,Copiers,1119.984,2,0.2,377.9946,"San Francisco, CAL Fire Northern Region, California, 94122, United States",37.761044946386,-122.47205448146867
2274,Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Tables,143.432,1,0.2,3.5858,"Misilmeri, Palermo, Sicilia, 90036, Italia",38.03382274444444,13.455525122222221
2275,Second Class,Corporate,United States,Los Angeles,California,90036,West,Furniture,Chairs,122.352,3,0.2,13.7646,"Misilmeri, Palermo, Sicilia, 90036, Italia",38.03382274444444,13.455525122222221
2276,Standard Class,Consumer,United States,Southaven,Mississippi,38671,South,Office Supplies,Storage,306.2,5,0.0,0.0,"Southaven, DeSoto County, Mississippi, 38671, United States",34.9690225868974,-89.9858860881335
2277,Standard Class,Consumer,United States,Southaven,Mississippi,38671,South,Furniture,Tables,85.98,1,0.0,22.3548,"Southaven, DeSoto County, Mississippi, 38671, United States",34.9690225868974,-89.9858860881335
2278,Standard Class,Consumer,United States,Southaven,Mississippi,38671,South,Technology,Accessories,223.96,4,0.0,53.7504,"Southaven, DeSoto County, Mississippi, 38671, United States",34.9690225868974,-89.9858860881335
2279,First Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,97.568,2,0.2,-6.098,"Seattle, King County, Washington, 98115, United States",47.68493836608715,-122.29913670628851
2280,First Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,614.272,8,0.2,-23.0352,"Seattle, King County, Washington, 98115, United States",47.68493836608715,-122.29913670628851
2281,First Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Bookcases,199.98,2,0.0,37.9962,"Seattle, King County, Washington, 98115, United States",47.68493836608715,-122.29913670628851
2282,First Class,Corporate,United States,Middletown,Connecticut,6457,East,Office Supplies,Paper,48.16,7,0.0,22.1536,"Molde, Møre og Romsdal, 6457, Norge",62.72814339392712,7.299993017813764
2283,Standard Class,Consumer,United States,New Castle,Indiana,47362,Central,Technology,Phones,23.92,2,0.0,6.6976,"범천동, 부산진구, 부산, 47362, 대한민국",35.1447874,129.0627039
2284,Standard Class,Consumer,United States,New Castle,Indiana,47362,Central,Office Supplies,Appliances,60.69,7,0.0,16.3863,"범천동, 부산진구, 부산, 47362, 대한민국",35.1447874,129.0627039
2285,First Class,Corporate,United States,Murfreesboro,Tennessee,37130,South,Office Supplies,Paper,14.352,3,0.2,5.2026,"Langeais, Chinon, Indre-et-Loire, Centre-Val de Loire, France métropolitaine, 37130, France",47.33228386590909,0.4024365181818182
2286,Standard Class,Consumer,United States,Salem,Virginia,24153,South,Office Supplies,Appliances,35.04,2,0.0,12.264,"Salem, Virginia, 24153, United States",37.28931115242537,-80.07142813507463
2287,Second Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,17.48,5,0.2,1.311,"Toledo, Lucas County, Ohio, 43615, United States",41.64953815267857,-83.67369849910715
2288,First Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,16.4,5,0.0,4.756,"Los Angeles, Los Angeles County, CAL Fire Southern Region, California, 90032, United States",34.070975295890406,-118.17731594246575
2289,First Class,Corporate,United States,Seattle,Washington,98115,West,Furniture,Tables,892.98,2,0.0,80.3682,"Seattle, King County, Washington, 98115, United States",47.68493836608715,-122.29913670628851
2290,Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Technology,Phones,287.97,3,0.0,77.7519,"Columbus, Muscogee County, Georgia, 31907, United States",32.48031057304551,-84.90651880641774
2291,Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,595.38,6,0.0,297.69,"Columbus, Muscogee County, Georgia, 31907, United States",32.48031057304551,-84.90651880641774
2292,Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,12.96,2,0.0,6.2208,"Columbus, Muscogee County, Georgia, 31907, United States",32.48031057304551,-84.90651880641774
2293,Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Phones,4.95,1,0.0,1.3365,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
2294,Standard Class,Corporate,United States,Middletown,Connecticut,6457,East,Furniture,Furnishings,181.95,3,0.0,38.2095,"Molde, Møre og Romsdal, 6457, Norge",62.72814339392712,7.299993017813764
2295,Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,13.52,4,0.0,6.2192,"Manhattan, New York County, City of New York, New York, 10011, United States",40.74085489441692,-73.99943298031053
2296,Standard Class,Consumer,United States,New York City,New York,10011,East,Furniture,Furnishings,259.7,5,0.0,106.477,"Manhattan, New York County, City of New York, New York, 10011, United States",40.74085489441692,-73.99943298031053
2297,Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,42.95,1,0.0,1.2885,"Manhattan, New York County, City of New York, New York, 10011, United States",40.74085489441692,-73.99943298031053
2298,Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Accessories,1399.93,7,0.0,601.9699,"Manhattan, New York County, City of New York, New York, 10011, United States",40.74085489441692,-73.99943298031053
2299,Standard Class,Consumer,United States,New York City,New York,10011,East,Technology,Phones,503.96,4,0.0,125.99,"Manhattan, New York County, City of New York, New York, 10011, United States",40.74085489441692,-73.99943298031053
2300,Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,12.72,3,0.0,6.36,"Midland, Midland County, Michigan, 48640, United States",43.62229000126156,-84.25688564768714
2301,Standard Class,Consumer,United States,Midland,Michigan,48640,Central,Office Supplies,Binders,11.52,4,0.0,5.6448,"Midland, Midland County, Michigan, 48640, United States",43.62229000126156,-84.25688564768714
2302,Standard Class,Corporate,United States,Columbus,Georgia,31907,South,Technology,Accessories,316.0,4,0.0,31.6,"Columbus, Muscogee County, Georgia, 31907, United States",32.48031057304551,-84.90651880641774
2303,Second Class,Home Office,United States,Roswell,Georgia,30076,South,Furniture,Chairs,723.92,4,0.0,188.2192,"科園里, 東區, 新竹市, 臺灣省, 30076, 臺灣",24.782450985714288,120.9939590142857
2304,Second Class,Home Office,United States,Roswell,Georgia,30076,South,Office Supplies,Paper,106.32,3,0.0,49.9704,"科園里, 東區, 新竹市, 臺灣省, 30076, 臺灣",24.782450985714288,120.9939590142857
2305,First Class,Corporate,United States,Chicago,Illinois,60623,Central,Furniture,Bookcases,141.372,2,0.3,-14.1372,"South Lawndale, Chicago, Cook County, Illinois, 60623, United States",41.851398875,-87.71629819951923
2306,First Class,Corporate,United States,Houston,Texas,77041,Central,Office Supplies,Paper,27.216,3,0.2,9.8658,"Harris County, Texas, 77041, United States",29.85049697415144,-95.58816040352481
2307,Standard Class,Consumer,United States,New York City,New York,10009,East,Technology,Accessories,390.75,5,0.0,171.93,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
2308,First Class,Home Office,United States,Peoria,Arizona,85345,West,Furniture,Chairs,280.792,1,0.2,35.099,"Peoria, Maricopa County, Arizona, 85345, United States",33.57157175369059,-112.24700961162792
2309,First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Storage,68.448,4,0.2,7.7004,"Peoria, Maricopa County, Arizona, 85345, United States",33.57157175369059,-112.24700961162792
2310,First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,88.04,5,0.2,6.603,"Peoria, Maricopa County, Arizona, 85345, United States",33.57157175369059,-112.24700961162792
2311,First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Art,15.872,1,0.2,1.984,"Peoria, Maricopa County, Arizona, 85345, United States",33.57157175369059,-112.24700961162792
2312,First Class,Home Office,United States,Peoria,Arizona,85345,West,Office Supplies,Storage,215.592,3,0.2,-48.5082,"Peoria, Maricopa County, Arizona, 85345, United States",33.57157175369059,-112.24700961162792
2313,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Labels,14.62,2,0.0,6.8714,"Sioux Falls, Minnehaha County, South Dakota, 57103, United States",43.53766152697467,-96.69238638897168
2314,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Appliances,416.32,2,0.0,112.4064,"Sioux Falls, Minnehaha County, South Dakota, 57103, United States",43.53766152697467,-96.69238638897168
2315,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Binders,43.0,5,0.0,20.21,"Sioux Falls, Minnehaha County, South Dakota, 57103, United States",43.53766152697467,-96.69238638897168
2316,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Furniture,Chairs,182.94,3,0.0,27.441,"Sioux Falls, Minnehaha County, South Dakota, 57103, United States",43.53766152697467,-96.69238638897168
2317,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Office Supplies,Binders,60.83,7,0.0,30.415,"Sioux Falls, Minnehaha County, South Dakota, 57103, United States",43.53766152697467,-96.69238638897168
2318,Standard Class,Corporate,United States,Sioux Falls,South Dakota,57103,Central,Technology,Accessories,389.97,3,0.0,132.5898,"Sioux Falls, Minnehaha County, South Dakota, 57103, United States",43.53766152697467,-96.69238638897168
2319,First Class,Consumer,United States,Richmond,Virginia,23223,South,Office Supplies,Appliances,194.32,4,0.0,56.3528,"Nin, Grad Nin, Zadarska županija, 23223, Hrvatska",44.241063163999996,15.192217172
2320,Standard Class,Corporate,United States,Seattle,Washington,98115,West,Technology,Accessories,265.93,7,0.0,63.8232,"Seattle, King County, Washington, 98115, United States",47.68493836608715,-122.29913670628851
2321,Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,94.74,3,0.0,44.5278,"Lorette, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42420, France",45.50917608571429,4.580031771428572
2322,Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,60.64,4,0.0,27.8944,"Lorette, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42420, France",45.50917608571429,4.580031771428572
2323,Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,76.3,5,0.0,38.15,"Lorette, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42420, France",45.50917608571429,4.580031771428572
2324,Second Class,Corporate,United States,Henderson,Kentucky,42420,South,Office Supplies,Binders,364.8,12,0.0,167.808,"Lorette, Saint-Étienne, Loire, Auvergne-Rhône-Alpes, France métropolitaine, 42420, France",45.50917608571429,4.580031771428572
2325,Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Binders,79.872,3,0.2,29.952,"Manhattan, New York County, City of New York, New York, 10035, United States",40.79525738643744,-73.94098895105061
2326,Second Class,Corporate,United States,New York City,New York,10035,East,Furniture,Bookcases,46.384,1,0.2,1.1596,"Manhattan, New York County, City of New York, New York, 10035, United States",40.79525738643744,-73.94098895105061
2327,Second Class,Corporate,United States,New York City,New York,10035,East,Office Supplies,Paper,12.96,2,0.0,6.2208,"Manhattan, New York County, City of New York, New York, 10035, United States",40.79525738643744,-73.94098895105061
2328,First Class,Home Office,United States,Fort Collins,Colorado,80525,West,Office Supplies,Envelopes,14.352,3,0.2,5.2026,"Fort Collins, Larimer County, Colorado, 80525, United States",40.5382357466242,-105.06059878942676
2329,Standard Class,Corporate,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,547.136,4,0.2,-68.392,"Condat-sur-Ganaveix, Tulle, Corrèze, Nouvelle-Aquitaine, France métropolitaine, 19140, France",45.43781821733334,1.58203768
2330,Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Storage,41.96,2,0.0,2.9372,90004,34.073026752459015,-118.30155263934427
2331,Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Paper,41.7,5,0.0,20.85,90004,34.073026752459015,-118.30155263934427
2332,Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,277.4,5,0.0,133.152,"Lafayette, Tippecanoe County, Indiana, 47905, United States",40.41644534489626,-86.82587004680498
2333,Standard Class,Consumer,United States,Lafayette,Indiana,47905,Central,Office Supplies,Paper,5.78,1,0.0,2.8322,"Lafayette, Tippecanoe County, Indiana, 47905, United States",40.41644534489626,-86.82587004680498
2334,Standard Class,Consumer,United States,Clarksville,Tennessee,37042,South,Office Supplies,Appliances,69.216,6,0.2,11.2476,"Caldiero, Verona, Veneto, 37042, Italia",45.412785182608694,11.171274010869565
2335,Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Envelopes,10.86,3,0.0,5.1042,"Chassepierre, Florenville, Virton, Luxembourg, Wallonie, 6824, België / Belgique / Belgien",49.70838960939394,5.268924086666667
2336,Same Day,Consumer,United States,Fairfield,Connecticut,6824,East,Office Supplies,Appliances,426.79,7,0.0,123.7691,"Chassepierre, Florenville, Virton, Luxembourg, Wallonie, 6824, België / Belgique / Belgien",49.70838960939394,5.268924086666667
2337,Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,25.92,4,0.0,12.4416,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
2338,Same Day,Consumer,United States,New York City,New York,10009,East,Office Supplies,Paper,45.92,4,0.0,22.5008,"雲林縣, 臺灣省, 臺灣",23.6990775,120.5245511
2339,Standard Class,Consumer,United States,Columbus,Ohio,43229,East,Office Supplies,Art,10.72,2,0.2,1.742,"Columbus, Franklin County, Ohio, 43229, United States",40.07416759199918,-82.97077208603454
2340,Standard Class,Consumer,United States,Warner Robins,Georgia,31088,South,Office Supplies,Art,41.86,7,0.0,10.465,"Warner Robins, Houston County, Georgia, 31088, United States",32.59103112847938,-83.65804495515464
2341,First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Furniture,Furnishings,63.2,5,0.0,23.384,"2038,8 BZ Passo Piuva Inf, Cáceres, Região Geográfica Imediata de Cáceres, Região Geográfica Intermediária de Cáceres, Mato Grosso, Região Centro-Oeste, Brasil",-16.7900555,-57.6617777
2342,First Class,Home Office,United States,Franklin,Massachusetts,2038,East,Technology,Accessories,113.97,3,0.0,27.3528,"2038,8 BZ Passo Piuva Inf, Cáceres, Região Geográfica Imediata de Cáceres, Região Geográfica Intermediária de Cáceres, Mato Grosso, Região Centro-Oeste, Brasil",-16.7900555,-57.6617777
